"(1, 5)",[ 4.39727779  3.69162997  0.04632517  0.96623659  0.16244986  0.72715773],56105,[ 0.63331541  0.31272392  0.0081663   0.0204898   0.00917186  0.0161327 ],N,"['N', 'E', 'S', 'poke', 'stay', 'W']"
"(3, 4)","[  4.50951492e+00   9.46541727e-01   2.92251956e-02   6.20540821e-01
   2.39116197e-05   3.89447924e+00]",56402,[ 0.62043341  0.01759201  0.00702959  0.012698    0.00682729  0.3354197 ],N,"['N', 'poke', 'E', 'S', 'W', 'stay']"
"(6, 0)",[ 2.17608345  0.37642112  1.76033376  2.32856644  2.20975628  1.1498213 ],48601,[ 0.22817959  0.03773057  0.15056326  0.26576594  0.23599387  0.08176676],S,"['S', 'stay', 'N', 'W', 'poke', 'E']"
"(3, 1)",[ 0.29489067  0.03659707  2.85880818  2.65492254  2.73409883  1.42231244],55212,[ 0.02506147  0.01935669  0.32546306  0.26543323  0.28730363  0.07738193],W,"['W', 'stay', 'S', 'poke', 'N', 'E']"
"(6, 5)",[ 4.28533897  0.72693961  0.63959067  1.49820646  1.03250493  1.81999576],54600,[ 0.8065635   0.02297446  0.02105282  0.04968237  0.03118535  0.0685415 ],N,"['N', 'poke', 'S', 'stay', 'E', 'W']"
"(1, 0)",[ 0.11416991  1.82396945  0.23659682  1.16441725  0.49668172  6.1648818 ],55206,[ 0.00229149  0.01266701  0.00258992  0.0065499   0.00335924  0.97254244],poke,"['poke', 'E', 'S', 'stay', 'W', 'N']"
"(0, 5)",[ 0.96298836  4.50972821  1.11099825  1.68614578  0.44337473  1.28059842],47412,[ 0.02445642  0.84863808  0.02835782  0.05040298  0.01454547  0.03359923],E,"['E', 'S', 'poke', 'W', 'N', 'stay']"
"(5, 6)",[ 2.00428695  0.17875039  1.87116282  2.08207587  0.40401405  3.46055054],44702,[ 0.13142117  0.02117605  0.11504037  0.14205242  0.02652624  0.56378377],poke,"['poke', 'S', 'N', 'W', 'stay', 'E']"
"(6, 2)",[ 0.08554313  0.84631459  3.94334732  2.12052315  0.41207358  2.59398393],55805,[ 0.01392269  0.02979354  0.6593961   0.10653784  0.01929895  0.17105087],W,"['W', 'poke', 'S', 'E', 'stay', 'N']"
"(2, 3)","[  6.31376377e-02   9.82701299e+00   1.10171699e-01   1.33045723e-04
   4.17176441e-24   3.69393203e-05]",55665,"[  5.74753154e-05   9.99720396e-01   6.02431950e-05   5.39658245e-05
   5.39586450e-05   5.39606383e-05]",E,"['E', 'W', 'N', 'S', 'poke', 'stay']"
"(2, 4)","[  1.42181518e+00   6.78301225e+00   5.37029478e-01   7.29089829e-01
   1.81211793e-08   5.29708635e-01]",56400,[ 0.00463943  0.98810413  0.00191517  0.00232069  0.00111938  0.0019012 ],E,"['E', 'N', 'S', 'W', 'poke', 'stay']"
"(0, 6)",[ 1.65242687  3.08525504  0.35776518  1.67030649  1.96405199  1.27193299],47415,[ 0.1172095   0.49117041  0.0321143   0.11932401  0.1600663   0.08011548],E,"['E', 'stay', 'S', 'N', 'poke', 'W']"
"(6, 1)",[ 1.35281646  1.37552121  1.40738525  2.95342286  2.00248218  0.9099527 ],55801,[ 0.09440926  0.09657731  0.09970421  0.46789575  0.18078434  0.06062912],S,"['S', 'stay', 'W', 'E', 'N', 'poke']"
"(2, 2)",[ 0.00664632  2.46727121  1.09825568  2.6820964   0.09754758  3.64849462],56706,[ 0.01439521  0.16859856  0.04288427  0.2090024   0.01576507  0.54935449],poke,"['poke', 'S', 'E', 'W', 'stay', 'N']"
"(3, 2)","[  1.18706786e-85   1.99358332e-02   1.19051729e-03   1.08247386e+00
   3.34187479e-02   8.86299362e+00]",56737,"[  1.41390516e-04   1.44237539e-04   1.41558944e-04   4.17381029e-04
   1.46195450e-04   9.99009237e-01]",poke,"['poke', 'S', 'stay', 'E', 'W', 'N']"
"(3, 0)",[ 0.74480896  0.49115062  2.60370121  3.35508828  1.30417057  1.50318702],55209,[ 0.03894112  0.03021663  0.24987054  0.52971017  0.06812964  0.08313192],S,"['S', 'W', 'poke', 'stay', 'N', 'E']"
"(4, 4)","[  3.95810203e-01   1.13242783e+00   5.79868356e+00   4.25837515e-10
   2.98166512e-02   2.64372479e+00]",56110,[ 0.00423788  0.00885233  0.94099399  0.00285266  0.002939    0.04012413],W,"['W', 'poke', 'E', 'N', 'stay', 'S']"
